id	Year	Dummy School	Education	Experience	Wage
83	1980	0	10	0.63	3.57
84	1980	1	11	0.0	
85	1980	1	12	0.98	8.45
86	1980	1	12	0.87	3.89
87	1980	1	9	0.0	
88	1980	1	8	0.0	
89	1980	0	11	0.94	
90	1980	0	15	0.0	
91	1980	1	14	0.0	
92	1980	1	12	1.0	5.31
93	1980	1	10	0.0	
94	1980	1	12	1.0	6.52
95	1980	1	10	0.0	
96	1980	1	12	0.0	
97	1980	1	9	0.0	
98	1980	1	8	0.0	
99	1980	1	12		9.87
100	1980	1	9	0.0	
101	1980	0	11	1.98	8.83
102	1980	1	14	0.0	
103	1980	1	13	0.0	
104	1980	1	12	0.0	
105	1980	1	11		3.97
106	1980	1	10	0.0	
107	1980	1	11	0.0	
108	1980	1	10	0.0	
109	1980	1	12	0.0	
110	1980	1	9	0.0	
111	1980	1	10	0.0	
112	1980	1	10	0.0	
113	1980	1	9	0.0	
114	1980	1	9	0.0	
115	1980	1	11	0.0	
116	1980	1	12	0.0	
117	1980	1	9	0.0	
118	1980	1	11	0.0	
119	1980	1	13	0.77	8.72
120	1980	1	13	0.0	
121	1980	0	11	1.69	4.87
122	1980	0	12		8.72
123	1980	1	12	0.0	
124	1980	1	10	0.0	
125	1980	1	9	0.0	
126	1980	0	12		
127	1980	1	9	0.0	
128	1980	0	11	0.0	
129	1980	1	9	0.96	6.03
130	1980	0	11		9.47
131	1980	1	9	0.0	
132	1980	1	12	1.0	5.55
133	1980	1	10	0.0	
134	1980	1	11	0.0	
135	1980	1	12	0.0	
136	1980	0	12	2.0	7.66
137	1980	1	13	0.0	
138	1980	0	12	0.0	
139	1980	1	11	0.0	
140	1980	1	12		
141	1980	0	9	0.0	
142	1980	1	12	1.0	
143	1980	1	10	0.0	
144	1980	1	10	0.0	
145	1980	0	9		6.27
146	1980	1	9		
147	1980	1	11	0.0	
148	1980	0	10		4.92
149	1980	1	12		5.16
150	1980	1	9	0.0	
151	1980	1	10	0.0	
152	1980	0	12		7.14
153	1980	0	11	0.0	8.96
154	1980	1	10	0.0	
155	1980	0	7	0.0	
156	1980	1	10	0.0	
157	1980	1	10	0.0	
158	1980	0	12	1.67	12.88
159	1980	0	9	1.98	4.95
160	1980	1	12		
161	1980	1	12		4.76
162	1980	1	12	0.0	
163	1980	0	12	0.0	
164	1980	1	9	0.0	
165	1980	0	12		9.91
166	1980	1	9	0.0	
167	1980	0	11	0.0	
168	1980	1	10	0.0	
169	1980	1	13	0.0	
170	1980	1	11	0.0	
171	1980	1	9	0.0	
172	1980	1	10	0.0	
173	1980	1	12	1.0	15.86
174	1980	1	11	0.0	
175	1980	1	9	0.0	
176	1980	1	13	0.0	
177	1980	1	10	0.0	
178	1980	0	12	1.9	9.91
179	1980	0	12	1.0	8.96
180	1980	1	12	0.48	6.5
181	1980	1	11	0.0	
182	1980	1	11	0.0	
183	1980	1	9	0.0	
184	1980	1	9	0.0	
185	1980	1	11	0.0	
186	1980	1	10	0.0	
187	1980	1	13	0.0	
188	1980	1	11	0.0	
189	1980	0	12		7.06
190	1980	1	14	0.0	
191	1980	0	12		9.52
192	1980	1	10	0.0	
193	1980	1	13	0.0	
194	1980	1	11	0.0	
195	1980	0	10		
196	1980	1	11	0.0	
197	1980	1	9	0.0	
198	1980	0	12	2.0	8.33
199	1980	1	12	0.0	
200	1980	1	9	0.0	
201	1980	1	11	0.0	
202	1980	1	10	0.0	
203	1980	0	13		8.18
204	1980	1	15	0.0	
205	1980	1	11	0.0	
206	1980	1	11	0.0	
207	1980	1	10	0.0	
208	1980	0	12		9.52
209	1980	1	10	0.0	
210	1980	1	11	0.0	
211	1980	1	12	0.0	
212	1980	1	11	0.0	
213	1980	1	12	0.9	6.09
214	1980	0	12	2.0	
215	1980	1	11	0.0	
216	1980	1	14	0.0	
217	1980	0	12	0.0	5.66
218	1980	0	12	0.0	7.93
219	1980	1	9	0.0	
220	1980	1	12	0.71	
221	1980	1	12	1.0	7.14
222	1980	1	9	0.0	
223	1980	1	9	0.0	
224	1980	1	9	0.0	
225	1980	1	10	0.0	
226	1980	1	9	0.0	
227	1980	1	10	0.0	
228	1980	1	9	1.0	
229	1980	1	8	0.0	
230	1980	1	10	0.0	
231	1980	1	12	0.0	
232	1980	1	11	0.0	
233	1980	1	10	0.0	
234	1980	0	12		7.14
235	1980	1	11	0.0	
236	1980	0	12	1.81	8.11
237	1980	0	8	1.0	6.34
238	1980	1	10	0.0	
239	1980	1	15	0.0	
240	1980	1	11	0.0	
241	1980	1	10	0.0	
242	1980	0	11	0.0	
243	1980	0	13	0.0	
244	1980	0	11	0.0	4.36
245	1980	0	12		11.06
246	1980	1	9	0.0	
247	1980	1	13	0.0	
248	1980	0	12	0.0	
249	1980	1	11	0.0	
250	1980	1	9	0.0	
251	1980	1	11	0.0	
252	1980	0	11		8.11
253	1980	1	9	0.0	
254	1980	0	12	0.88	4.92
255	1980	1	11	1.0	9.52
256	1980	0	9	0.94	
257	1980	0	12		6.54
258	1980	1	9	0.0	
259	1980	1	9	0.0	
260	1980	0	10		
261	1980	1	15	0.0	
262	1980	1	12		3.49
263	1980	1	8	0.0	
264	1980	1	10	0.0	
265	1980	0	12	0.0	
266	1980	1	13	0.0	
267	1980	1	12	0.0	
268	1980	0	12		7.14
269	1980	1	9	0.0	
270	1980	1	8	0.0	
271	1980	0	8	1.85	7.93
272	1980	1	10	0.0	
273	1980	1	11	0.0	
274	1980	1	10	0.0	
275	1980	1	11	0.0	
276	1980	0	8	1.0	
277	1980	0	13		7.14
278	1980	1	12	0.0	
279	1980	1	10	0.0	
280	1980	1	9	0.0	
281	1980	1	9	0.0	
282	1980	0	14	0.0	
283	1980	1	11	0.0	
284	1980	1	11	0.0	
285	1980	0	10	1.98	4.95
286	1980	1	10	0.0	
287	1980	0	11	2.0	
288	1980	1	10	0.0	
289	1980	1	11	0.0	
290	1980	0	11	0.0	
291	1980	1	10	0.0	
292	1980	1	11	0.0	
293	1980	0	11	1.0	5.95
294	1980	1	10	0.0	
295	1980	1	10	0.0	
296	1980	1	11	0.0	
297	1980	1	10	0.0	
298	1980	1	10	0.9	7.14
299	1980	1	11	0.0	
300	1980	1	11	0.0	
301	1980	1	9	0.0	
302	1980	1	15	0.0	
303	1980	1	9	0.0	7.93
304	1980	1	11	0.0	
305	1980	1	9	0.0	
306	1980	1	12	1.0	4.76
307	1980	1	12	0.0	
308	1980	0	12	0.0	
309	1980	1	10	0.0	
310	1980	1	8	0.0	
311	1980	1	9	0.0	
312	1980	1	11	0.0	
313	1980	1	10	0.0	
314	1980	1	10	0.0	
315	1980	1	10	0.0	
316	1980	1	11	0.0	
317	1980	1	9	0.0	
318	1980	1	9	0.0	
319	1980	1	10	0.0	
320	1980	0	10	0.0	
321	1980	0	12	1.52	6.74
322	1980	1	10	0.0	
323	1980	1	10	0.0	
324	1980	0	10	1.6	5.81
325	1980	1	11	0.0	
326	1980	0	7	0.0	
327	1980	1	11	0.0	
328	1980	1	10	0.0	
329	1980	0	12	0.0	7.93
330	1980	1	9	0.0	
331	1980	1	12	1.0	5.0
332	1980	1	12	0.0	
333	1980	1	12	0.87	6.49
334	1980	1	9	0.0	
335	1980	0	12	1.0	9.52
336	1980	1	10	0.0	
337	1980	0	12		7.9
338	1980	1	11	0.0	
339	1980	1	9	0.0	
340	1980	0	9	0.0	
341	1980	1	12	0.0	
342	1980	1	12	0.96	4.76
343	1980	0	12	2.0	6.34
344	1980	1	9	0.0	
345	1980	1	12	1.0	4.6
346	1980	1	10	0.0	
347	1980	1	9	0.0	
348	1980	0	12		5.03
349	1980	1	10	0.0	
350	1980	0	12	1.9	7.22
351	1980	0	12	2.0	8.23
352	1980	1	12	0.88	
353	1980	1	10	0.0	
354	1980	1	11	0.0	
355	1980	0	12	1.94	4.76
356	1980	1	10	0.0	
357	1980	1	8	0.0	
358	1980	1	10	0.0	
359	1980	1	12	1.0	5.55
360	1980	1	12	0.0	
361	1980	1	13	0.0	
362	1980	1	12	0.0	
363	1980	1	9	0.0	
364	1980	1	11	0.0	
365	1980	0	12	1.98	7.93
366	1980	0	11	1.65	
367	1980	1	12	1.0	7.42
368	1980	0	11	1.0	5.55
369	1980	1	9	0.0	
370	1980	1	9	0.0	
371	1980	1	10	0.0	
372	1980	1	8	0.0	
373	1980	0	10	0.0	3.97
374	1980	0	12	1.62	5.95
375	1980	0	9	1.5	
376	1980	0	8	0.0	
377	1980	0	9	0.0	
378	1980	1	9	0.0	
379	1980	1	11	0.0	
380	1980	0	12	1.71	15.86
381	1980	0	6	0.0	
382	1980	0	12	2.0	
383	1980	1	12	1.0	6.96
384	1980	1	8	0.0	
385	1980	1	13	0.0	
386	1980	0	11		7.33
387	1980	0	14	0.0	
388	1980	1	10	0.0	
389	1980	1	8	0.0	
390	1980	1	10	0.0	
391	1980	0	10		6.5
392	1980	1	11	0.0	
393	1980	1	11	0.0	
394	1980	1	10	0.0	
395	1980	1	8	0.0	
396	1980	1	8	0.0	
397	1980	0	12		9.83
398	1980	1	13	0.0	
399	1980	1	9	0.0	
400	1980	1	10	0.0	
401	1980	1	9	0.0	
402	1980	1	9	0.0	
403	1980	1	8	0.0	
404	1980	0	12		5.68
405	1980	0	11		7.14
406	1980	1	10	0.0	
407	1980	1	9	0.0	
408	1980	1	8	0.0	
409	1980	1	8	0.0	
410	1980	1	14	0.0	
411	1980	0	12		9.22
412	1980	1	11	0.0	
413	1980	1	11	0.0	
414	1980	1	10	0.0	
415	1980	1	9	0.0	
416	1980	1	10	0.0	
417	1980	1	12	0.0	
418	1980	0	8		5.55
419	1980	1	11	0.0	
420	1980	1	12	0.0	
421	1980	1	10	0.0	
422	1980	0	12		
423	1980	1	13	0.0	
424	1980	1	10	0.0	
425	1980	0	12	1.98	5.9
426	1980	1	9	0.0	
427	1980	1	11	0.0	
428	1980	0	11		6.34
429	1980	1	11	0.0	
430	1980	1	9	0.0	
431	1980	1	9	1.0	5.25
432	1980	0	12		5.55
433	1980	1	10	0.0	
434	1980	1	10	0.0	
435	1980	0	12	2.0	12.37
436	1980	1	9	0.0	
437	1980	1	10	0.0	
438	1980	1	11	0.0	
439	1980	1	10	0.0	
440	1980	0	12	2.0	7.93
441	1980	1	11	0.0	
442	1980	0	6	2.0	9.52
443	1980	1	9	0.0	
444	1980	1	15	0.0	
445	1980	1	12	0.0	
446	1980	0	9	0.62	
447	1980	1	9	0.0	
448	1980	1	14		7.93
449	1980	0	9	2.0	7.04
450	1980	0	9	1.58	8.33
451	1980	1	9	0.0	
452	1980	0	9		4.76
453	1980	1	11	0.0	
454	1980	0	14	0.0	5.55
455	1980	0	10	1.42	5.35
456	1980	1	12	0.0	
457	1980	1	11	0.0	
458	1980	0	10	1.0	5.95
459	1980	1	10	0.0	
460	1980	1	9	0.0	
461	1980	0	11	0.0	
462	1980	1	11	0.67	
463	1980	0	12		13.34
464	1980	1	12	0.5	5.88
465	1980	0	9	0.0	
466	1980	1	12	1.0	5.66
467	1980	1	9	0.0	
468	1980	1	13	0.0	
469	1980	1	11	0.0	
470	1980	1	11	0.0	
471	1980	1	10	0.0	
472	1980	1	10	0.0	
473	1980	0	12		8.57
474	1980	1	11	1.0	
475	1980	1	13		6.34
476	1980	1	10	0.0	
477	1980	0	10	0.0	
478	1980	1	10	0.0	
479	1980	1	11	0.0	
480	1980	0	11	0.0	
481	1980	1	8	0.0	
482	1980	1	9	0.0	
483	1980	1	11	0.0	
484	1980	0	13		5.71
485	1980	1	9	0.0	
486	1980	1	11	0.0	
487	1980	1	9	0.0	
488	1980	1	13	0.0	
489	1980	0	12		6.98
490	1980	0	12	2.0	5.95
491	1980	1	11	0.0	
492	1980	1	12	0.0	
493	1980	1	12	1.0	8.09
494	1980	1	9	0.0	
495	1980	1	12	1.0	5.28
496	1980	1	12	1.0	6.85
497	1980	0	11		8.72
498	1980	1	9	0.0	
499	1980	0	12	2.0	5.55
500	1980	1	9	0.0	
501	1980	1	11	0.0	
502	1980	1	11	0.0	
503	1980	1	12		7.06
504	1980	1	11	0.0	
505	1980	0	10	0.77	4.76
506	1980	1	10	0.0	
507	1980	1	8	0.0	
508	1980	0	12	1.6	4.52
509	1980	0	7	1.83	6.11
510	1980	1	9	0.0	
511	1980	1	11	0.63	9.99
512	1980	1	9	0.0	
513	1980	1	9	0.0	
514	1980	1	11	0.0	
515	1980	1	11	0.0	
516	1980	1	9	0.0	
517	1980	1	12	0.54	
518	1980	1	14	0.67	
519	1980	0	8	0.0	
520	1980	0	12		9.45
521	1980	1	9	0.0	
522	1980	1	11	0.0	
523	1980	1	13	0.0	
524	1980	1	11	0.0	
525	1980	0	13	0.0	
526	1980	0	15	0.0	
527	1980	1	12	0.0	
528	1980	1	10	0.0	
529	1980	1	9	0.0	
530	1980	1	10	0.0	
531	1980	0	12		8.72
532	1980	0	9		7.14
533	1980	1	9	0.0	
534	1980	1	10	0.0	
535	1980	0	9	0.63	4.6
536	1980	1	9	0.0	
537	1980	1	11	0.0	
538	1980	1	12		7.93
539	1980	1	8	0.0	
540	1980	1	11	0.0	
541	1980	1	10	0.0	
542	1980	1	12	0.0	
543	1980	1	10	0.0	
544	1980	0	12	2.0	6.93
545	1980	1	10	0.0	
546	1980	0	10	0.0	
547	1980	1	10	0.0	
548	1980	1	11	0.0	
549	1980	0	13		9.52
550	1980	1	13	0.0	
551	1980	1	10	0.0	
552	1980	1	10	0.0	
553	1980	0	12	0.0	
554	1980	1	10	0.0	
555	1980	1	10	0.0	
556	1980	1	10	0.0	
557	1980	0	9	0.0	2.95
558	1980	1	11	0.0	
559	1980	1	9	0.0	
560	1980	0	11	1.9	5.22
561	1980	1	8	0.0	
562	1980	1	12	0.0	
563	1980	1	14	0.0	
564	1980	1	11	0.0	
565	1980	1	12	0.0	
566	1980	1	11	0.0	
567	1980	0	11	0.0	
568	1980	1	9	0.0	
569	1980	0	11	1.0	6.34
570	1980	1	11	0.0	
571	1980	1	9	0.0	
572	1980	1	11	0.0	
573	1980	1	10	0.0	
574	1980	1	8	0.0	
575	1980	1	11	0.0	
576	1980	1	12	0.0	
577	1980	1	11	0.0	
578	1980	1	11	0.0	
579	1980	1	9	0.0	
580	1980	1	11	0.0	
581	1980	1	10	0.0	
582	1980	1	11	0.0	
583	1980	1	11	0.0	
584	1980	1	12	0.0	
585	1980	1	9	0.0	
586	1980	1	13	0.0	
587	1980	1	14	0.0	
588	1980	0	12	0.0	5.95
589	1980	0	12	6.94	5.95
590	1980	0	12	0.0	
591	1980	1	12	0.0	
592	1980	1	12	0.0	
593	1980	1	10	0.0	
594	1980	1	12	0.0	5.55
595	1980	0	12		13.48
596	1980	0	12	1.73	5.55
597	1980	0	12		10.66
598	1980	1	10	0.0	
599	1980	1	11	0.0	
600	1980	1	8	0.0	
601	1980	0	14		6.96
602	1980	1	13	0.0	
603	1980	1	9	0.0	
604	1980	0	10	0.0	
605	1980	1	12	1.0	
606	1980	0	14	0.0	
607	1980	1	15	0.0	
608	1980	0	12		14.43
609	1980	0	13		9.52
610	1980	1	11	0.0	
611	1980	1	9	0.0	
612	1980	0	14	0.0	
613	1980	1	10	0.0	
614	1980	1	13	0.0	
615	1980	0	9	0.0	
616	1980	1	13	0.0	
617	1980	1	11	0.0	
618	1980	1	13	0.0	
619	1980	1	13	0.0	
620	1980	0	11	0.54	
621	1980	0	12	2.0	
622	1980	0	8		9.71
623	1980	1	11	0.0	
624	1980	1	13	0.0	
625	1980	1	12	0.0	
626	1980	1	11	0.0	
627	1980	1	10	0.0	
628	1980	0	12	2.0	5.95
629	1980	1	12	0.0	
630	1980	0	12	1.62	
631	1980	1	11	0.0	
632	1980	1	12	0.0	
633	1980	0	14	0.0	
634	1980	1	11	0.0	
635	1980	1	13	0.0	
636	1980	1	8	0.0	
637	1980	1	10	0.0	
638	1980	1	13	0.0	
639	1980	0	8	0.0	5.55
640	1980	0	8	0.0	
641	1980	0	11	0.0	7.42
642	1980	1	11	0.0	
643	1980	0	9	0.0	
644	1980	0	11		5.16
645	1980	0	12		4.52
646	1980	0	10	1.85	6.66
647	1980	1	9	0.0	
648	1980	1	11	0.0	
649	1980	0	9	0.0	
650	1980	1	8	0.0	
651	1980	1	10	0.0	
652	1980	1	11	0.0	
653	1980	0	12	0.0	
654	1980	1	13	0.0	
655	1980	1	10	0.0	
656	1980	1	13	0.0	
657	1980	1	11	0.0	
658	1980	1	10	0.0	
659	1980	1	10	0.0	
660	1980	0	12	1.0	
661	1980	1	11	0.0	
662	1980	1	12		5.95
663	1980	0	12		
664	1980	1	11	0.0	
665	1980	1	9	0.0	
666	1980	0	13	0.0	
667	1980	1	10	0.0	
668	1980	1	14	0.81	7.55
669	1980	1	9	0.0	
670	1980	1	10	0.0	
671	1980	0	11		6.74
672	1980	1	10	0.0	
673	1980	1	9	0.0	
674	1980	1	8	0.0	
675	1980	1	12	0.0	
676	1980	1	11	0.0	
677	1980	1	10	0.0	
678	1980	1	12	0.0	
679	1980	1	11	0.0	
680	1980	1	9	0.0	
681	1980	1	11	0.0	
682	1980	1	10	0.0	
683	1980	1	9	0.0	
684	1980	1	11	0.0	
685	1980	1	12	0.81	6.34
686	1980	1	10	0.0	
687	1980	1	9	0.0	
688	1980	1	11	0.0	
689	1980	1	15	0.0	
690	1980	0	12		8.72
691	1980	1	11	0.0	
692	1980	1	9	0.0	
693	1980	0	13	0.0	
694	1980	0	11	0.0	
695	1980	1	11	0.0	
696	1980	0	12		
697	1980	0	12		8.11
698	1980	1	12		7.79
699	1980	0	12		9.28
700	1980	1	10	0.0	
701	1980	0	9	0.87	5.16
702	1980	1	11	0.0	
703	1980	1	9	0.0	
704	1980	1	11	0.0	
705	1980	1	12	0.0	
706	1980	1	11	0.0	
707	1980	0	12	2.0	6.34
708	1980	1	11	0.0	
709	1980	1	12	1.0	5.0
710	1980	0	12		7.22
711	1980	1	10	0.0	
712	1980	1	11	0.0	
713	1980	1	10	0.0	
714	1980	1	12	0.0	5.55
715	1980	1	11	0.0	
716	1980	1	11	0.0	
717	1980	1	11	0.0	
718	1980	1	12	2.0	
719	1980	1	9	0.0	
720	1980	0	9	0.0	
721	1980	1	11	0.0	
722	1980	0	12	0.0	
723	1980	1	11	0.0	
724	1980	0	11	0.58	4.6
725	1980	1	12		4.95
726	1980	1	9	0.0	
727	1980	0	14	0.0	
728	1980	1	12	0.0	
729	1980	1	11	0.0	
730	1980	0	9		6.34
731	1980	0	11		11.9
732	1980	0	12		8.72
733	1980	0	12		
734	1980	0	12	1.85	4.92
735	1980	0	12	1.0	
736	1980	0	10		
737	1980	1	9	0.0	
738	1980	1	9	0.0	
739	1980	1	8	0.0	
740	1980	1	12	0.0	
741	1980	1	13	0.0	
742	1980	1	12	0.0	
743	1980	0	10		5.95
744	1980	1	11	0.0	
745	1980	1	9	0.0	
746	1980	1	10	0.0	
747	1980	1	9	0.0	
748	1980	1	9	0.0	
749	1980	0	10		5.55
750	1980	1	14	0.0	
751	1980	1	9	0.0	
752	1980	0	12		14.86
753	1980	1	12	0.0	
754	1980	1	10	0.0	
755	1980	0	12		
756	1980	1	8	0.0	
757	1980	1	9	0.0	
758	1980	1	12	1.0	6.34
759	1980	1	9	0.0	
760	1980	1	8	0.0	
761	1980	0	10		7.14
762	1980	1	12	0.92	7.74
763	1980	0	12		16.05
764	1980	1	9	0.0	
765	1980	0	11	0.0	
766	1980	1	12	0.0	
767	1980	1	9	0.0	
768	1980	1	12	0.0	
769	1980	1	9	0.0	
770	1980	1	10	0.0	
771	1980	1	11	0.0	
772	1980	0	13		5.55
773	1980	1	12	0.0	
774	1980	1	10	0.0	
775	1980	0	13	0.0	
776	1980	0	9	1.0	
777	1980	1	10	0.0	
778	1980	1	11	0.0	
779	1980	1	9	0.0	
780	1980	1	11	0.0	
781	1980	1	10	0.0	
782	1980	1	10	0.0	
783	1980	1	11	0.0	
784	1980	1	11	0.0	
785	1980	1	10	0.0	
786	1980	1	14	0.0	
787	1980	1	11	0.0	
788	1980	1	13	1.92	
789	1980	1	12	0.0	8.37
790	1980	1	10	0.0	
791	1980	0	12	2.0	10.71
792	1980	1	11	0.0	
793	1980	1	11	0.0	
794	1980	0	12	2.0	6.99
795	1980	1	14	0.0	
796	1980	0	14	0.0	
797	1980	1	9	0.0	
798	1980	0	12	0.81	14.28
799	1980	1	8	0.0	
800	1980	1	9	0.0	
801	1980	0	7		14.67
802	1980	0	12		10.67
803	1980	1	9	0.0	
804	1980	1	9	0.0	
805	1980	1	8	0.0	
806	1980	0	11	1.96	7.14
807	1980	1	10	0.0	
808	1980	0	9	2.0	4.92
809	1980	1	9	0.0	
810	1980	1	12		5.95
811	1980	1	9	0.0	
812	1980	1	10	0.0	
813	1980	1	9	0.0	
814	1980	1	9	0.0	
815	1980	1	12	0.0	
816	1980	1	10	0.0	
817	1980	0	9	0.0	
818	1980	1	10	0.0	
819	1980	1	9	0.0	
820	1980	0	10		5.39
821	1980	0	8	1.96	4.03
822	1980	1	12	0.96	4.76
823	1980	1	11	0.0	
824	1980	1	10	0.0	
825	1980	1	9	0.0	
826	1980	0	12		6.69
827	1980	0	11		6.82
828	1980	1	11	0.0	
829	1980	1	9	0.0	
830	1980	1	11	0.0	
831	1980	0	12		7.93
832	1980	1	11	0.0	
833	1980	1	9	0.0	
834	1980	0	13	0.0	
835	1980	1	9	0.0	
836	1980	0	9	1.0	6.28
837	1980	1	9	0.0	
838	1980	1	9	0.0	
839	1980	1	9	0.98	5.16
840	1980	1	10	0.0	7.93
841	1980	1	12	1.0	16.04
842	1980	1	9	0.0	
843	1980	1	12	0.0	
844	1980	1	12	0.0	
845	1980	1	10	0.0	
846	1980	1	8	0.0	
847	1980	1	10	0.0	
848	1980	1	8	0.0	
849	1980	0	10		9.36
850	1980	1	14	0.0	
851	1980	0	12	2.0	7.38
852	1980	1	10	0.0	
853	1980	1	10	0.0	
854	1980	1	12	0.0	
855	1980	1	11	0.0	
856	1980	0	8		3.97
857	1980	0	8	1.87	5.55
858	1980	0	11		11.9
859	1980	1	9	0.0	
860	1980	1	10	0.0	
861	1980	1	13	1.0	10.42
862	1980	1	10	0.0	
863	1980	1	9	0.0	
864	1980	1	10	0.0	
865	1980	1	12	0.0	
866	1980	1	10	0.0	
867	1980	1	9	0.0	
868	1980	1	11	0.0	
869	1980	1	13	0.0	
870	1980	1	11	0.0	
871	1980	0	11		9.12
872	1980	0	12	1.0	4.92
873	1980	1	11	0.0	
874	1980	1	11	0.0	
875	1980	1	10	0.0	
876	1980	1	9	0.0	
877	1980	1	9	1.0	
878	1980	1	15	0.0	
879	1980	0	12		16.02
880	1980	1	12	1.0	2.63
881	1980	1	11	0.0	
882	1980	1	9	0.0	
883	1980	1	12	0.0	
884	1980	1	9	0.0	
885	1980	1	12	0.0	
886	1980	0	12	0.0	
887	1980	1	11	0.0	
888	1980	1	11	0.0	
889	1980	0	14	0.0	
890	1980	1	9	0.0	
891	1980	1	10	0.0	
892	1980	1	10	0.0	
893	1980	1	9	0.0	
894	1980	0	10	0.0	6.74
895	1980	1	9	0.0	
896	1980	0	11	0.0	
897	1980	1	11	0.0	
898	1980	0	12	0.0	
899	1980	1	10	0.0	
900	1980	1	10	0.0	
901	1980	1	10	0.0	
902	1980	1	11		
903	1980	1	11	0.75	
904	1980	1	9	0.0	
905	1980	1	9	0.0	
906	1980	1	14	0.0	
907	1980	1	8	0.0	
908	1980	1	11	0.0	
909	1980	1	12	0.0	
910	1980	1	11	0.0	
911	1980	1	12	1.0	4.52
912	1980	1	9	0.0	
913	1980	1	9	0.0	
914	1980	1	12	1.0	5.35
915	1980	1	12	0.0	4.92
916	1980	0	12	2.0	13.32
917	1980	1	12		7.93
918	1980	1	8	0.0	
919	1980	1	9	0.0	
920	1980	1	13	0.0	
921	1980	1	11	0.0	
922	1980	0	12	1.0	
923	1980	0	9	2.0	4.46
924	1980	1	12	1.0	5.95
925	1980	0	13	1.0	5.41
926	1980	1	14	0.0	
927	1980	1	12	0.0	
928	1980	1	11	0.0	
929	1980	0	10	0.87	4.76
930	1980	1	9	0.0	
931	1980	1	12	0.0	
932	1980	1	9	0.0	
933	1980	1	10	0.0	
934	1980	1	13	1.0	7.53
935	1980	0	12	0.0	17.45
936	1980	1	9	0.0	
937	1980	1	10	0.0	
938	1980	1	12	1.0	4.95
939	1980	1	9	0.0	
940	1980	1	13	0.0	
941	1980	1	12	0.0	
942	1980	1	12	0.0	
943	1980	1	9	0.0	
944	1980	1	11	0.0	
945	1980	1	12	0.88	4.76
946	1980	0	12	1.83	16.4
947	1980	1	11	0.0	
948	1980	1	11	0.0	
949	1980	1	9	0.0	
950	1980	1	12	0.0	
951	1980	0	12	0.0	4.65
952	1980	1	10	0.0	
953	1980	1	13	0.0	
954	1980	1	9	0.0	
955	1980	1	15	0.0	
956	1980	1	12	0.92	5.31
957	1980	1	10	0.0	
958	1980	1	9	0.0	
959	1980	1	8	0.0	
960	1980	1	12	0.83	9.55
961	1980	1	11	0.83	8.41
962	1980	1	10	0.0	
963	1980	1	10	0.0	
964	1980	1	10	0.0	
965	1980	0	12		11.9
966	1980	1	9	0.0	
967	1980	0	11		5.95
968	1980	1	9	0.0	
969	1980	1	9	0.0	
970	1980	0	7	0.92	
971	1980	1	10	0.0	
972	1980	1	9	0.0	
973	1980	1	11	0.0	
974	1980	1	10	0.0	
975	1980	1	11	0.52	
976	1980	1	11	0.0	
977	1980	1	9	0.0	
